# Source: nextlevelbuilder/ui-ux-pro-max-skill (MIT, https://github.com/nextlevelbuilder/ui-ux-pro-max-skill)
# Adapted for wisp-design: schema condensed to 6 columns; web stacks only.
# License: MIT
# Style: museum-archive — institutional restraint, generous whitespace, serif-display + sans-meta, hairline rules, archival ivory ground.
# Direction: paired with directions/museum-archive.md.
target_type,style,prompt,css_template,checklist,css_vars
table-catalog,museum-archive,"Catalogue table — hairline rules, oldstyle nums, serif","width: 100%; border-collapse: collapse; font-family: var(--ma-serif-text); font-variant-numeric: oldstyle-nums; font-size: 15px; color: var(--ma-ink);","☐ tabular-nums alternative if needed for align ☐ hairline rules ☐ AA contrast","--ma-serif-text: 'Cambria', serif; --ma-ink: oklch(20% 0.005 60)"
divider-rule,museum-archive,"Section divider — hairline rule, generous block-margin","height: 1px; background: var(--ma-rule); margin-block: 80px;","☐ semantic <hr> ☐ aria-hidden if decorative ☐ generous block margin","--ma-rule: oklch(78% 0.008 60)"
badge-catalog,museum-archive,"Catalogue badge — sans uppercase, hairline border","display: inline-flex; padding: 2px 8px; background: transparent; color: var(--ma-ink); border: 1px solid var(--ma-ink); border-radius: 0; font-family: var(--ma-sans); font-size: 10px; font-weight: 500; text-transform: uppercase; letter-spacing: 0.08em;","☐ no pill ☐ AA contrast on border + text ☐ semantic colour + text","--ma-ink: oklch(20% 0.005 60); --ma-sans: 'Inter', sans-serif"
hero-archival,museum-archive,"Hero — flush-left, serif headline, archival metadata row","padding-block: 120px 80px; text-align: left;","☐ flush-left ☐ no centred hero ☐ archival metadata above headline (date, collection)","--ma-section-y: 120px"
modal-archive,museum-archive,"Modal — ivory card, hairline border, no soft shadow","padding: 48px; background: var(--ma-ivory); border: 1px solid var(--ma-rule); border-radius: 0; max-width: 600px;","☐ focus-trap ☐ ESC closes ☐ no soft shadow ☐ no rounded corners","--ma-ivory: oklch(96% 0.014 85); --ma-rule: oklch(78% 0.008 60)"
footer-archive,museum-archive,"Footer — multi-column, hairline top, sans metadata","padding-block: 80px 48px; background: var(--ma-ivory); border-top: 1px solid var(--ma-rule); font-family: var(--ma-sans);","☐ semantic <footer> ☐ multi-column responsive ☐ AA contrast","--ma-ivory: oklch(96% 0.014 85); --ma-rule: oklch(78% 0.008 60); --ma-sans: 'Inter', sans-serif"
list-archival,museum-archive,"Archival list — definition-list pattern, hairline rules between","display: flex; flex-direction: column;","☐ semantic <dl>/<dt>/<dd> ☐ hairline rules between entries ☐ AA contrast","--ma-rule: oklch(78% 0.008 60)"
breadcrumb-archive,museum-archive,"Breadcrumb — sans uppercase, slash separator","display: flex; align-items: center; gap: 8px; font-family: var(--ma-sans); font-size: 11px; font-weight: 500; text-transform: uppercase; letter-spacing: 0.08em; color: var(--ma-ink-muted);","☐ aria-label='Breadcrumb' ☐ aria-current='page' on last ☐ tracking 0.08em","--ma-sans: 'Inter', sans-serif; --ma-ink-muted: oklch(40% 0.005 60)"
section-spacing,museum-archive,"Section vertical rhythm — generous, institutional","padding-block: clamp(96px, 14vh, 180px);","☐ section padding ≥96px ☐ clamp for fluid scaling","--ma-section-y-min: 96px"
focus-ring,museum-archive,"Focus ring — ink outline offset","outline: 2px solid var(--ma-ink); outline-offset: 3px;","☐ visible on all interactive ☐ AA contrast ☐ generous offset (3px) for archival breathing","--ma-ink: oklch(20% 0.005 60)"
