# Source: nextlevelbuilder/ui-ux-pro-max-skill (MIT, https://github.com/nextlevelbuilder/ui-ux-pro-max-skill)
# Adapted for wisp-design: schema condensed to 6 columns; web stacks only.
# License: MIT
# Style: editorial-luxury — display serif at hero, restrained palette (cream + ink + single warm accent), generous whitespace, slow motion.
# Direction: paired with directions/editorial-luxury.md.
target_type,style,prompt,css_template,checklist,css_vars
form-input,editorial-luxury,"Text input — bottom-rule only, serif, square","padding: 10px 0; background: transparent; color: var(--el-ink); font-family: var(--el-serif-text); font-size: 1rem; border: none; border-bottom: 1px solid var(--el-rule); border-radius: 0;","☐ font-size ≥16px iOS via rem ☐ focus shifts border-bottom-color ☐ label above ☐ AA contrast","--el-ink: oklch(22% 0.02 60); --el-rule: oklch(75% 0.012 60)"
accent-mark,editorial-luxury,"Inline accent — warm-tone, restrained","color: var(--el-accent); font-style: italic;","☐ AA contrast on cream ground ☐ used max once per paragraph ☐ italic loaded","--el-accent: oklch(48% 0.10 50)"
divider-rule,editorial-luxury,"Section divider — hairline, generous block-margin","height: 1px; background: var(--el-rule); margin-block: 96px;","☐ semantic <hr> ☐ generous block margin ☐ no gradient","--el-rule: oklch(75% 0.012 60)"
caption-italic,editorial-luxury,"Image caption — italic serif, small","margin-top: 12px; font-family: var(--el-serif-text); font-size: 14px; font-style: italic; line-height: 1.4; color: var(--el-ink-muted);","☐ semantic <figcaption> ☐ AA contrast ☐ italic loaded","--el-serif-text: 'Cambria', serif; --el-ink-muted: oklch(45% 0.012 60)"
footer-editorial,editorial-luxury,"Footer — multi-column, generous padding, serif headings","padding-block: 96px 56px; background: var(--el-cream); border-top: 1px solid var(--el-rule); font-family: var(--el-serif-text);","☐ semantic <footer> ☐ multi-column responsive ☐ no chrome","--el-cream: oklch(97% 0.018 80); --el-rule: oklch(75% 0.012 60)"
modal-editorial,editorial-luxury,"Modal — cream card, no shadow, hairline border, generous padding","padding: 64px; background: var(--el-cream); border: 1px solid var(--el-rule); border-radius: 2px; max-width: 600px;","☐ focus-trap ☐ ESC closes ☐ no soft shadow ☐ generous padding","--el-cream: oklch(97% 0.018 80); --el-rule: oklch(75% 0.012 60)"
section-spacing,editorial-luxury,"Section vertical rhythm — luxurious, fluid","padding-block: clamp(96px, 16vh, 200px);","☐ section padding ≥96px ☐ clamp for fluid scaling","--el-section-y-min: 96px"
transition-slow,editorial-luxury,"Slow motion — restrained cubic-bezier, 320ms+","transition: opacity 320ms cubic-bezier(0.2, 0.8, 0.2, 1), transform 320ms cubic-bezier(0.2, 0.8, 0.2, 1);","☐ duration ≥280ms ☐ reduced-motion freezes ☐ ease curve restrained (not bounce)","--el-ease-luxe: cubic-bezier(0.2, 0.8, 0.2, 1); --el-duration: 320ms"
list-prose,editorial-luxury,"Prose list — serif, hanging bullets, generous spacing","font-family: var(--el-serif-text); font-size: 19px; line-height: 1.7; padding-left: 1.5em;","☐ semantic <ul>/<ol> ☐ hanging bullets ☐ items breathe vertically","--el-serif-text: 'Cambria', serif"
testimonial,editorial-luxury,"Testimonial — italic serif quote, mono attribution, generous block","padding: 48px 0; border-block: 1px solid var(--el-rule); font-family: var(--el-serif); font-style: italic; font-size: 1.5rem; line-height: 1.4;","☐ <blockquote>+<cite> semantic ☐ italic loaded ☐ specific quote (no generic) ☐ no stock avatar","--el-serif: 'GT Sectra', serif; --el-rule: oklch(75% 0.012 60)"
