# Source: nextlevelbuilder/ui-ux-pro-max-skill (MIT, https://github.com/nextlevelbuilder/ui-ux-pro-max-skill)
# Adapted for wisp-design: schema condensed to 6 columns; web stacks only.
# License: MIT
# Style: monochrome-minimal — single-hue palette, generous whitespace, weight and size carry hierarchy (not colour).
# Direction: paired with directions/monochrome-minimal.md.
target_type,style,prompt,css_template,checklist,css_vars
badge-status,monochrome-minimal,"Status badge — monotone, weight carries meaning","display: inline-flex; padding: 4px 10px; border-radius: 9999px; background: var(--mn-bg-elev); color: var(--mn-fg); font-size: 12px; font-weight: 600;","☐ semantic colour + icon + text (not colour alone — here meaning via weight) ☐ AA contrast","--mn-bg-elev: oklch(97% 0.005 250); --mn-fg: oklch(18% 0.005 250)"
tag,monochrome-minimal,"Filter tag — monotone pill, removable","display: inline-flex; align-items: center; gap: 6px; padding: 4px 10px; border-radius: 9999px; background: var(--mn-bg-elev); color: var(--mn-fg-muted); font-size: 13px;","☐ remove button keyboard-reachable ☐ AA contrast ☐ aria-label includes action","--mn-bg-elev: oklch(97% 0.005 250); --mn-fg-muted: oklch(45% 0.005 250)"
divider-section,monochrome-minimal,"Section divider — hairline, single hue","height: 1px; background: var(--mn-border); margin-block: 48px;","☐ semantic <hr> ☐ no gradient ☐ aria-hidden if decorative","--mn-border: oklch(90% 0.005 250)"
modal,monochrome-minimal,"Modal — monotone card, overlay","position: fixed; inset: 0; display: grid; place-items: center; background: oklch(15% 0 0 / 0.5);","☐ focus-trap ☐ ESC closes ☐ ARIA dialog role ☐ inert background","--mn-overlay: oklch(15% 0 0 / 0.5)"
empty-state,monochrome-minimal,"Empty state — monotone, specific microcopy, single CTA","display: flex; flex-direction: column; align-items: center; gap: 16px; padding: 64px 24px; text-align: center; color: var(--mn-fg-muted);","☐ specific copy (no 'Welcome to') ☐ next-action CTA ☐ AA contrast","--mn-fg-muted: oklch(45% 0.005 250)"
icon-feature,monochrome-minimal,"Feature icon — stroke-only, single hue","width: 24px; height: 24px; stroke: var(--mn-fg-muted); fill: none; transition: stroke 200ms;","☐ stroke not fill ☐ aria-hidden if decorative ☐ adequate contrast","--mn-fg-muted: oklch(45% 0.005 250)"
focus-ring,monochrome-minimal,"Focus ring — single hue, offset outline","outline: 2px solid var(--mn-fg); outline-offset: 2px;","☐ visible on all interactive elements ☐ offset for readability ☐ AA contrast","--mn-fg: oklch(18% 0.005 250)"
hover-state,monochrome-minimal,"Hover affordance — opacity or weight shift, no chromatic shift","transition: opacity 150ms ease-out; opacity: 0.85;","☐ no chromatic hover ☐ opacity 0.7-0.9 range ☐ reduced-motion freezes","--mn-hover-opacity: 0.85"
list-vertical,monochrome-minimal,"Vertical list — monotone, sibling-gap","display: flex; flex-direction: column; gap: 16px;","☐ semantic <ul>/<li> ☐ AA contrast ☐ no chromatic markers","--mn-list-gap: 16px"
footer,monochrome-minimal,"Footer — monotone, generous padding","padding-block: 64px; background: var(--mn-bg-elev); border-top: 1px solid var(--mn-border);","☐ semantic <footer> ☐ multi-column responsive ☐ no chromatic accent","--mn-bg-elev: oklch(97% 0.005 250); --mn-border: oklch(90% 0.005 250)"
