# Source: nextlevelbuilder/ui-ux-pro-max-skill (MIT, https://github.com/nextlevelbuilder/ui-ux-pro-max-skill)
# Adapted for wisp-design: schema condensed to 6 columns; web stacks only.
# License: MIT
# Style: industrial-utilitarian — workhorse fonts, dense surfaces, safety-orange/yellow accents, hard contrast, no decoration.
# Direction: paired with directions/industrial-utilitarian.md.
target_type,style,prompt,css_template,checklist,css_vars
table-data,industrial-utilitarian,"Data table — dense rows, thick header rule, tabular-nums","width: 100%; border-collapse: collapse; font-family: var(--in-sans); font-variant-numeric: tabular-nums; font-size: 13px;","☐ tabular-nums ☐ thick header rule (2px) ☐ dense (no extra padding) ☐ AA contrast","--in-sans: 'Roboto', sans-serif"
table-header,industrial-utilitarian,"Table header — uppercase, ink ground","padding: 8px 12px; text-align: left; background: var(--in-ink); color: var(--in-cream); font-weight: 700; text-transform: uppercase; letter-spacing: 0.04em; font-size: 11px;","☐ semantic <th scope='col'> ☐ AA contrast inverted ☐ uppercase","--in-ink: oklch(18% 0.005 60); --in-cream: oklch(92% 0.008 80)"
badge-status,industrial-utilitarian,"Status badge — safety colour, square, uppercase","display: inline-flex; padding: 2px 8px; background: var(--in-safety); color: var(--in-ink); border: 1px solid var(--in-ink); border-radius: 2px; font-family: var(--in-sans); font-size: 10px; font-weight: 700; text-transform: uppercase; letter-spacing: 0.06em;","☐ no rounded-pill ☐ AA contrast safety/ink ☐ semantic colour + text","--in-safety: oklch(75% 0.18 65); --in-ink: oklch(18% 0.005 60); --in-sans: 'Roboto', sans-serif"
icon-warning,industrial-utilitarian,"Warning icon — safety-yellow triangle, ink stroke","width: 24px; height: 24px; color: var(--in-caution);","☐ stroke ≥2px for visibility ☐ aria-label when meaningful ☐ AA contrast","--in-caution: oklch(85% 0.18 95)"
divider-thick,industrial-utilitarian,"Section divider — thick rule, no decoration","height: 3px; background: var(--in-ink); margin-block: 48px; border-radius: 0;","☐ semantic <hr> ☐ thick (3px) ☐ no gradient","--in-ink: oklch(18% 0.005 60)"
modal-utility,industrial-utilitarian,"Modal — hard-bordered, dense, no rounded corners","padding: 24px; background: var(--in-cream); border: 3px solid var(--in-ink); border-radius: 2px; max-width: 520px;","☐ focus-trap ☐ ESC closes ☐ no soft shadow ☐ no rounded corners","--in-cream: oklch(92% 0.008 80); --in-ink: oklch(18% 0.005 60)"
list-utility,industrial-utilitarian,"Utility list — dense rows, hairline rules","display: flex; flex-direction: column;","☐ semantic <ul>/<li> ☐ hairline rules between ☐ dense padding (8px block)","--in-rule: oklch(72% 0.005 60)"
focus-ring,industrial-utilitarian,"Focus ring — safety-orange outline, thick offset","outline: 3px solid var(--in-safety); outline-offset: 2px;","☐ visible on all interactive ☐ thick (3px) ☐ AA contrast on cream ground","--in-safety: oklch(75% 0.18 65)"
footer-utility,industrial-utilitarian,"Footer — ink ground, cream text","padding-block: 40px 24px; background: var(--in-ink); color: var(--in-cream); font-family: var(--in-sans); font-size: 13px;","☐ semantic <footer> ☐ AA contrast inverted ☐ uppercase headings","--in-ink: oklch(18% 0.005 60); --in-cream: oklch(92% 0.008 80); --in-sans: 'Roboto', sans-serif"
caption-spec,industrial-utilitarian,"Spec caption — small mono, uppercase","font-family: var(--in-sans); font-size: 10px; font-weight: 700; text-transform: uppercase; letter-spacing: 0.06em; color: var(--in-ink-muted);","☐ AA contrast ☐ uppercase + tracking ☐ adequate size (10px min)","--in-sans: 'Roboto', sans-serif; --in-ink-muted: oklch(42% 0.005 60)"
