# Source: nextlevelbuilder/ui-ux-pro-max-skill (MIT, https://github.com/nextlevelbuilder/ui-ux-pro-max-skill)
# Adapted for wisp-design: schema condensed to 6 columns; web stacks only.
# License: MIT
# Style: data-density-bloomberg — terminal-inspired financial UI, dense rows, tabular-nums everywhere, semantic up/down colour, single-pixel rules.
# Direction: paired with directions/data-density-bloomberg.md.
target_type,style,prompt,css_template,checklist,css_vars
status-pill,data-density,"Inline status pill — semantic colour, dense, mono","display: inline-flex; padding: 1px 5px; background: transparent; color: var(--dd-up); border: 1px solid var(--dd-up); border-radius: 2px; font-family: var(--dd-mono); font-size: 10px; font-weight: 600;","☐ semantic colour + text (not colour alone) ☐ AA contrast ☐ no pill rounding (square corners)","--dd-up: oklch(72% 0.16 145); --dd-mono: 'JetBrains Mono', monospace"
sparkline,data-density,"Inline sparkline — minimal, semantic colour, no axis","width: 60px; height: 16px; display: inline-block; vertical-align: middle; color: var(--dd-up);","☐ aria-label describes trend ☐ AA contrast ☐ no axis labels (inline)","--dd-up: oklch(72% 0.16 145)"
form-input-dense,data-density,"Dense input — single-line, mono, hairline border","padding: 2px 6px; background: var(--dd-ground); color: var(--dd-fg); font-family: var(--dd-mono); font-size: 12px; border: 1px solid var(--dd-rule); border-radius: 2px; height: 22px;","☐ font-size could be 12 (mono allows) but 14px+ preferred for body ☐ focus shifts border to fg ☐ AA contrast ☐ visible label","--dd-ground: oklch(14% 0.005 250); --dd-fg: oklch(92% 0.005 250); --dd-rule: oklch(26% 0.005 250); --dd-mono: 'JetBrains Mono', monospace"
toolbar-dense,data-density,"Toolbar — single-line, dense, mono buttons","display: flex; gap: 4px; padding: 4px 8px; background: var(--dd-surface-1); border-bottom: 1px solid var(--dd-rule); height: 28px; align-items: center;","☐ dense height (≤28px) ☐ AA contrast ☐ keyboard-nav across buttons","--dd-surface-1: oklch(18% 0.005 250); --dd-rule: oklch(26% 0.005 250)"
keyboard-shortcut,data-density,"Keyboard shortcut hint — mono, bracketed","display: inline-flex; padding: 1px 4px; background: transparent; color: var(--dd-fg-muted); border: 1px solid var(--dd-rule); border-radius: 2px; font-family: var(--dd-mono); font-size: 10px; font-weight: 600;","☐ semantic <kbd> ☐ AA contrast ☐ bracketed feel via border","--dd-fg-muted: oklch(65% 0.005 250); --dd-rule: oklch(26% 0.005 250); --dd-mono: 'JetBrains Mono', monospace"
panel-divider,data-density,"Panel divider — single-pixel rule between columns","width: 1px; background: var(--dd-rule);","☐ no double-pixel ☐ visible enough on dark ground ☐ aria-hidden","--dd-rule: oklch(26% 0.005 250)"
chart-axis-label,data-density,"Chart axis label — small mono, muted","font-family: var(--dd-mono); font-size: 10px; color: var(--dd-fg-muted); font-variant-numeric: tabular-nums;","☐ AA contrast ☐ tabular-nums ☐ semantic colour + text on chart","--dd-mono: 'JetBrains Mono', monospace; --dd-fg-muted: oklch(65% 0.005 250)"
selection-row,data-density,"Selected row — accent ground, AA inverted","background: var(--dd-accent-soft); color: var(--dd-fg);","☐ AA contrast on accent-soft ☐ aria-selected ☐ keyboard reachable","--dd-accent-soft: oklch(30% 0.08 230); --dd-fg: oklch(92% 0.005 250)"
focus-ring-dense,data-density,"Dense focus ring — single-pixel accent outline","outline: 1px solid var(--dd-accent); outline-offset: 0;","☐ visible on all interactive ☐ AA contrast ☐ no offset (dense layout)","--dd-accent: oklch(72% 0.14 230)"
context-menu,data-density,"Context menu — dense rows, mono, hairline rules","padding: 4px 0; background: var(--dd-surface-1); border: 1px solid var(--dd-rule); border-radius: 2px; font-family: var(--dd-mono); font-size: 12px; min-width: 180px;","☐ aria-menu role ☐ keyboard-nav ☐ ESC closes ☐ AA contrast","--dd-surface-1: oklch(18% 0.005 250); --dd-rule: oklch(26% 0.005 250); --dd-mono: 'JetBrains Mono', monospace"
context-menu-item,data-density,"Context menu row — dense, single-line","padding: 3px 12px; line-height: 1.4; cursor: pointer;","☐ AA contrast ☐ hover state ground-shift ☐ dense (line-height 1.4)","--dd-fg: oklch(92% 0.005 250)"
